,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6
0,PP45843,"Philmac 3G metric/imperial stopcock 25mm x 3/4""",Philmac,45.49,"This Philmac 3G stopcock with 25mm x 3/4"" POL x POL end connections is made of high performance polypropylene (PP) for good impact resistance and resistance to UV, chemicals and corrosion. Non-toxic and taint-free, this Philmac compression fitting is suitable for a wide range of plumbing, commercial, agricultural, industrial and residential applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PE Pipe Fittings/Caps/Caps.csv -> Philmac 3G metric/imperial stopcock 25mm x 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/44/NW-P45842_P45844_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Philmac_Fittings_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Philmac_PipeFittings_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Philmac_PipeFittings_Brochure.pdf,,,
1,PP45842,"Philmac 3G metric/imperial stopcock 20mm x 1/2"" (5)",Philmac,30.77,"This Philmac 3G stopcock with 20mm x 1/2"" POL x POL end connections is made of high performance polypropylene (PP) for good impact resistance and resistance to UV, chemicals and corrosion. Non-toxic and taint-free, this Philmac compression fitting is suitable for a wide range of plumbing, commercial, agricultural, industrial and residential applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PE Pipe Fittings/Caps/Caps.csv -> Philmac 3G metric/imperial stopcock 20mm x 1/2"" (5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/44/NW-P45842_P45844_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Philmac_Fittings_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Philmac_PipeFittings_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Philmac_PipeFittings_Brochure.pdf,,,
2,PP45608,"Philmac 3G end connector Pol  x  MI 50mm - 1.1/2"" x 2""",Philmac,26.26,"This Philmac 3G connector with 50mm/1 1/2"" x 2"" POL x MI BSP end connections is made of high performance polypropylene (PP) for good impact resistance and resistance to UV, chemicals and corrosion. Non-toxic and taint-free, this Philmac compression fitting is suitable for a wide range of plumbing, commercial, agricultural, industrial and residential applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PE Pipe Fittings/Caps/Caps.csv -> Philmac 3G end connector Pol  x  MI 50mm - 1.1/2"" x 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/10/NW-P45607_P45610_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Philmac_Fittings_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Philmac_PipeFittings_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Philmac_PipeFittings_Brochure.pdf,,,
3,PP65438,"Philmac 3G hose union bib tap 3/4""",Philmac,29.73,"This Philmac 3G bib tap with 3/4"" BSP x hose union end connections is made of high performance polypropylene (PP) for good impact resistance and resistance to UV, chemicals and corrosion. Non-toxic and taint-free, this Philmac compression fitting is suitable for a wide range of plumbing, commercial, agricultural, industrial and residential applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PE Pipe Fittings/Caps/Caps.csv -> Philmac 3G hose union bib tap 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/38/NW-P65437_P65438_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Philmac_Fittings_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Philmac_PipeFittings_Brochure.pdf,,,,
4,PP45959,"Philmac 3G end connector Pol  x  FI 50mm - 1.1/2"" x 2""",Philmac,37.55,"This Philmac 3G connector with 50mm/1 1/2"" x 2"" POL x FI BSP end connections is made of high performance polypropylene (PP) for good impact resistance and resistance to UV, chemicals and corrosion. Non-toxic and taint-free, this Philmac compression fitting is suitable for a wide range of plumbing, commercial, agricultural, industrial and residential applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PE Pipe Fittings/Caps/Caps.csv -> Philmac 3G end connector Pol  x  FI 50mm - 1.1/2"" x 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/60/NW-P45958_P45960_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Philmac_Fittings_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Philmac_PipeFittings_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Philmac_PipeFittings_Brochure.pdf,,,
5,PP45844,Philmac 3G metric/imperial stopcock 32mm x 1 (2),Philmac,69.44,"This Philmac 3G stopcock with 32mm x 1"" POL x POL end connections is made of high performance polypropylene (PP) for good impact resistance and resistance to UV, chemicals and corrosion. Non-toxic and taint-free, this Philmac compression fitting is suitable for a wide range of plumbing, commercial, agricultural, industrial and residential applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PE Pipe Fittings/Caps/Caps.csv -> Philmac 3G metric/imperial stopcock 32mm x 1 (2)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/44/NW-P45842_P45844_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Philmac_Fittings_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Philmac_PipeFittings_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Philmac_PipeFittings_Brochure.pdf,,,
6,PP45597,"Philmac 3G end connector Pol  x  MI 32mm - 1"" x 3/4""",Philmac,8.94,"This Philmac 3G connector with 32mm/1"" x 3/4"" POL x MI BSP end connections is made of high performance polypropylene (PP) for good impact resistance and resistance to UV, chemicals and corrosion. Non-toxic and taint-free, this Philmac compression fitting is suitable for a wide range of plumbing, commercial, agricultural, industrial and residential applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PE Pipe Fittings/Caps/Caps.csv -> Philmac 3G end connector Pol  x  MI 32mm - 1"" x 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/99/NW-P45594_P45599_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Philmac_Fittings_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Philmac_PipeFittings_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Philmac_PipeFittings_Brochure.pdf,,,
7,PP28742,"Gps Pe Pipe Systems Protecta-Line PE male iron BSP end connector 32mm x 1""",Gps Pe Pipe Systems,9.18,"Made of polyethylene (PE), this GPS PE Pipe Systems Protecta-Line end connector with 32mm x 1"" mechanical compression x male iron BSP tapered connections offers proven protection against all recognised brownfield contaminants, organic and inorganic, even at maximum reported concentrations.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PE Pipe Fittings/Caps/Caps.csv -> Gps Pe Pipe Systems Protecta-Line PE male iron BSP end connector 32mm x 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/42/NW-P28740_P28742_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/GPS_PE_Protecta_Line_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/GPS_PE_Protecta_Line_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/P28742_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/GPS_PE_Protecta_Line_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/GPS_PE_Infrastrctr_Guide.pdf,
8,PP45596,"Philmac 3G end connector Pol  x  MI 25mm - 3/4"" x 1""",Philmac,9.81,"This Philmac 3G connector with 25mm/3/4"" x 1"" POL x MI BSP end connections is made of high performance polypropylene (PP) for good impact resistance and resistance to UV, chemicals and corrosion. Non-toxic and taint-free, this Philmac compression fitting is suitable for a wide range of plumbing, commercial, agricultural, industrial and residential applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PE Pipe Fittings/Caps/Caps.csv -> Philmac 3G end connector Pol  x  MI 25mm - 3/4"" x 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/99/NW-P45594_P45599_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Philmac_Fittings_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Philmac_PipeFittings_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Philmac_PipeFittings_Brochure.pdf,,,
9,PP45628,"Philmac 3G end connector Pol  x  FI 32mm - 1"" x 1""",Philmac,8.44,"This Philmac 3G connector with 32mm/1"" x 1"" POL x FI BSP end connections is made of high performance polypropylene (PP) for good impact resistance and resistance to UV, chemicals and corrosion. Non-toxic and taint-free, this Philmac compression fitting is suitable for a wide range of plumbing, commercial, agricultural, industrial and residential applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PE Pipe Fittings/Caps/Caps.csv -> Philmac 3G end connector Pol  x  FI 32mm - 1"" x 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/29/NW-P45624_P45629_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Philmac_Fittings_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Philmac_PipeFittings_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Philmac_PipeFittings_Brochure.pdf,,,
10,PP45780,"Philmac 3G metric/imperial plug 25mm x 3/4"" (10)",Philmac,2.63,"This Philmac 3G polypropylene plug with 25mm/3/4"" metric/imperial end connections is built to last, corrosion-resistant and easy to install making it ideal for a variety of plumbing and commercial applications. Philmac fittings are designed for connection to different pipe materials including metric and imperial PE, lead, PVC, copper, stainless steel and galvanised iron.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PE Pipe Fittings/Caps/Caps.csv -> Philmac 3G metric/imperial plug 25mm x 3/4"" (10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/80/NW-P45780_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Philmac_Fittings_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Philmac_PipeFittings_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Philmac_PipeFittings_Brochure.pdf,,,
11,PP45977,"Philmac 3G metric/imperial elbow 20mm - 1/2""  x  15mm Cop/Pe x",Philmac,11.79,"This Philmac 3G elbow with 20mm/1/2"" x 15mm PE x copper/PEX push-fit end connections is made of high performance polypropylene (PP) for good impact resistance and resistance to UV, chemicals and corrosion. Non-toxic and taint-free, this Philmac compression fitting is suitable for a wide range of plumbing, commercial, agricultural, industrial and residential applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PE Pipe Fittings/Caps/Caps.csv -> Philmac 3G metric/imperial elbow 20mm - 1/2""  x  15mm Cop/Pe x",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/78/NW-P45977_P45978_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Philmac_Fittings_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Philmac_PipeFittings_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Philmac_PipeFittings_Brochure.pdf,,,
12,PP45595,"Philmac 3G end connector Pol  x  MI 25mm - 3/4"" x 3/4""",Philmac,6.13,"This Philmac 3G connector with 25mm/3/4"" x 3/4"" POL x MI BSP end connections is made of high performance polypropylene (PP) for good impact resistance and resistance to UV, chemicals and corrosion. Non-toxic and taint-free, this Philmac compression fitting is suitable for a wide range of plumbing, commercial, agricultural, industrial and residential applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PE Pipe Fittings/Caps/Caps.csv -> Philmac 3G end connector Pol  x  MI 25mm - 3/4"" x 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/99/NW-P45594_P45599_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Philmac_Fittings_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Philmac_PipeFittings_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Philmac_PipeFittings_Brochure.pdf,,,
13,PP01657,Plasson 1012 end plug 25mm,Plasson,6.72,"This Plasson 1012 25mm push-fit end plug with push-fit end connections is ideal for conveying water and other fluids in urban and inter-urban infrastructure, industrial, mining, landscape, and farming and is supplied with a captive O ring for a watertight seal. Suitable for cold water pipes, this fitting offers high impact strength and stress resistance, withstanding working pressures of up to 16 bar.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PE Pipe Fittings/Caps/Caps.csv -> Plasson 1012 end plug 25mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/57/P01657_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Plasson_1012U0025_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Plasson_1000_Datasheet.pdf,,,,
14,PP45929,"Philmac 3G metric/imperial end cap 20mm x 1/2""",Philmac,5.81,"This Philmac 3G 47mm end cap with 20mm/1/2"" metric/imperial end connections is made of high performance polypropylene (PP) for good impact resistance and resistance to UV, chemicals and corrosion. Non-toxic and taint-free, this Philmac compression fitting is suitable for a wide range of plumbing, commercial, agricultural, industrial and residential applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PE Pipe Fittings/Caps/Caps.csv -> Philmac 3G metric/imperial end cap 20mm x 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/31/NW-P45929_P45931_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Philmac_Fittings_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Philmac_PipeFittings_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Philmac_PipeFittings_Brochure.pdf,,,
15,PP45930,"Philmac 3G metric/imperial end cap 25mm x 3/4""",Philmac,7.8,"This Philmac 3G 55mm end cap with 25mm/3/4"" metric/imperial end connections is made of high performance polypropylene (PP) for good impact resistance and resistance to UV, chemicals and corrosion. Non-toxic and taint-free, this Philmac compression fitting is suitable for a wide range of plumbing, commercial, agricultural, industrial and residential applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PE Pipe Fittings/Caps/Caps.csv -> Philmac 3G metric/imperial end cap 25mm x 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/31/NW-P45929_P45931_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Philmac_Fittings_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Philmac_PipeFittings_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Philmac_PipeFittings_Brochure.pdf,,,
16,PP45621,"Philmac 3G end connector Pol  x  FI 20mm - 1/2"" x 1/2""",Philmac,6.53,"This Philmac 3G connector with 20mm/1/2"" x 1/2"" POL x FI BSP end connections is made of high performance polypropylene (PP) for good impact resistance and resistance to UV, chemicals and corrosion. Non-toxic and taint-free, this Philmac compression fitting is suitable for a wide range of plumbing, commercial, agricultural, industrial and residential applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PE Pipe Fittings/Caps/Caps.csv -> Philmac 3G end connector Pol  x  FI 20mm - 1/2"" x 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/22/NW-P45621_P45622_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Philmac_Fittings_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Philmac_PipeFittings_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Philmac_PipeFittings_Brochure.pdf,,,
17,PP45624,"Philmac 3G end connector Pol  x  FI 25mm - 3/4"" x 1/2""",Philmac,7.22,"This Philmac 3G connector with 25mm/3/4"" x 1/2"" POL x FI BSP end connections is made of high performance polypropylene (PP) for good impact resistance and resistance to UV, chemicals and corrosion. Non-toxic and taint-free, this Philmac compression fitting is suitable for a wide range of plumbing, commercial, agricultural, industrial and residential applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PE Pipe Fittings/Caps/Caps.csv -> Philmac 3G end connector Pol  x  FI 25mm - 3/4"" x 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/29/NW-P45624_P45629_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Philmac_Fittings_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Philmac_PipeFittings_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Philmac_PipeFittings_Brochure.pdf,,,
18,PP45591,"Philmac 3G end connector Pol  x  MI 20mm - 1/2"" x 1/2""",Philmac,4.82,"This Philmac 3G connector with 20mm/1/2"" x 1/2"" POL x MI BSP end connections is made of high performance polypropylene (PP) for good impact resistance and resistance to UV, chemicals and corrosion. Non-toxic and taint-free, this Philmac compression fitting is suitable for a wide range of plumbing, commercial, agricultural, industrial and residential applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PE Pipe Fittings/Caps/Caps.csv -> Philmac 3G end connector Pol  x  MI 20mm - 1/2"" x 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/92/NW-P45591_P45592_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Philmac_Fittings_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Philmac_PipeFittings_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Philmac_PipeFittings_Brochure.pdf,,,
19,PP45592,"Philmac 3G end connector Pol  x  MI 20mm - 1/2"" x 3/4""",Philmac,5.86,"This Philmac 3G connector with 20mm/1/2"" x 3/4"" POL x MI BSP end connections is made of high performance polypropylene (PP) for good impact resistance and resistance to UV, chemicals and corrosion. Non-toxic and taint-free, this Philmac compression fitting is suitable for a wide range of plumbing, commercial, agricultural, industrial and residential applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PE Pipe Fittings/Caps/Caps.csv -> Philmac 3G end connector Pol  x  MI 20mm - 1/2"" x 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/92/NW-P45591_P45592_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Philmac_Fittings_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Philmac_PipeFittings_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Philmac_PipeFittings_Brochure.pdf,,,
20,PP45599,"Philmac 3G end connector Pol  x  MI 32mm - 1"" x 1.1/4""",Philmac,18.67,"This Philmac 3G connector with 32mm/1"" x 1 1/4"" POL x MI BSP end connections is made of high performance polypropylene (PP) for good impact resistance and resistance to UV, chemicals and corrosion. Non-toxic and taint-free, this Philmac compression fitting is suitable for a wide range of plumbing, commercial, agricultural, industrial and residential applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/PE Pipe Fittings/Caps/Caps.csv -> Philmac 3G end connector Pol  x  MI 32mm - 1"" x 1.1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/99/NW-P45594_P45599_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Philmac_Fittings_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Philmac_PipeFittings_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Philmac_PipeFittings_Brochure.pdf,,,
