,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Connection Type,Operating Temperature,Range,Warranty,Weight,Hazardous,Water Heating Declared Load Profile,Sound Power Level (Indoors),Output,Depth (mm),Re-heat times,Anti Legionella Function,Water Pressure,Thermostat Temperature,Useage Single / Multi Point,Controls,Eco Setting,ErP Rating,IP Rating,Material,Max Pressure (Psi),Min Pressure (Psi),Mounting Type,Water Connection,Supplier Product Code,Type,WEEE Compliant,Capacity Litre,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Attachment 6,Feature 14,Pack Quantity,Attachment 7,Attachment 8
0,P138884,Andrews MAXXflo EVO Lite SC35/201 condensing water heater,Andrews,6592.0,"Highly efficient, the Andrews MAXXflo EVO Lite SC35/201 gas-fired condensing water heater provides a generous storage capacity of 200L for on-demand hot water throughout busy premises. ErP A-rated, this commercial water heater with integral pump helps to minimise waste and offers ease of operation via smart Siemens controls with a seven-day timer and three on/off periods each day.",Water Heating and Storage/Water Heaters/Commercial Water Heaters/Commercial Water Heaters.csv -> Andrews MAXXflo EVO Lite SC35/201 condensing water heater,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/2-/88/138882-88_wm.jpg,White,BSP,Max 65,MAXXflo EVO Lite,2 Year,"Empty: 120.3 kg, Full: 324 kg",N,XL,58 dB(A),35 kW,928,22,Yes,3.5,60,Multi Point,Electronic,Yes,A,IP20,Stainless Steel,85,17,Floor Mount,1 1/2 in,7802491,Water Heater,N,200 l,ErP A rated,Integral high efficiency pump,Siemens controls with LCD display,Integral 7-day time clock with 3 time zones per day plus temperature set back function,Factory fitted 95 deg C + 7 bar Temperature and Pressure relief valve,6.5 bar maximum pressure (vented),,,,,,,,,,,,,,,,,
1,PD73822,Ariston Next Evo X 3632533 Instantaneous Water Heater (NG) 16L pack,Ariston,444.99,"Ideal for retrofitting, the 16L Ariston Next Evo X gas instantaneous water heater has an attractive, modern and compact design and intuitive, innovative functions for reliable and efficient hot water. ErP A-rated, the 30kW Next Evo X includes an oxygen-free heat exchanger and promises lower NOx emissions, while simple temperature and water flow adjustments ensure precise delivery and reduced waste.",Water Heating and Storage/Water Heaters/Commercial Water Heaters/Commercial Water Heaters.csv -> Ariston Next Evo X 3632533 Instantaneous Water Heater (NG) 16L pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/22/D73822_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ariston_NEXTEVOXFT_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/x_/ds/Ariston_NEXTEVOX_DS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ariston_NEXTEVOX_Brochure.pdf,,,,,,,,,,,,,,
2,PD69086,Zip Aquapoint 4 AP430S smart universal water heater 30ltr,Zip,605.81,"Connecting directly to the mains water supply, the feature-packed Zip Aquapoint IV 30L smart universal unvented water heater is capable of delivering reliable hot water to multiple conventional taps. Designed to maximise efficiency, this large 2kW water heater incorporates a robust powder-coated steel casing and polyurethane foam insulation for less heat loss while an anti-Legionella function ensures an always healthy water delivery.",Water Heating and Storage/Water Heaters/Commercial Water Heaters/Commercial Water Heaters.csv -> Zip Aquapoint 4 AP430S smart universal water heater 30ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/89/D69086_D69089_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D69086_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Zip_Aquapoint_IV_Installation.pdf,,,,,,,,,,,,,,,
3,P137895,Andrews Water Heaters HIflo EVO HF 30/300 water heater,Andrews Water Heaters,6654.63,"A popular choice for properties requiring larger quantities of hot water, the Andrews HIflo EVO HF30/300 high efficiency floor-standing storage water heater offers a generous 300L of storage for fast, reliable hot water delivery. Straightforward to install and requiring minimal maintenance, the 30kW HIflo EVO features a highly reliable Correx® powered anode and Hydrojet® sediment reduction system, ensuring longevity and lower running costs.",Water Heating and Storage/Water Heaters/Commercial Water Heaters/Commercial Water Heaters.csv -> Andrews Water Heaters HIflo EVO HF 30/300 water heater,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/99/137895_137899_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Andrews_Hiflo_EVO_WH.Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Andrews_Hiflo_EVO_WH_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/o_/ps/Andrews_Hiflo_EVO_PS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/137895_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Andrews_Water_Heaters_Spec_Guide.pdf,,,,,,,,,,,,
4,PS08024,Acv WaterMaster 25 Evo condensing direct gas-fired water heater,Acv,4191.0,"Highly efficient, this Acv WaterMaster 25 Evo condensing direct gas-fired water heater is suitable for fully condensing operation and promises both low NOx levels and a reduced Legionella risk. Compact in design, this commercial water heater is suitable for installation in plant rooms where space is at a premium and minimises maintenance with no need for anode protection. Suitable for vented systems, the WaterMaster is easily converted to unvented systems using a separately available kit.",Water Heating and Storage/Water Heaters/Commercial Water Heaters/Commercial Water Heaters.csv -> Acv WaterMaster 25 Evo condensing direct gas-fired water heater,,"Water Heater, Installation Manual, LPG Conversion Kit, Condensate Trap, Robokit, Flue Measuring tube",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/24/S08024_wm.jpg,White,1 M,80,WaterMaster,5 Years,177 kg,N,L,60,24.3 kW,708,26,Yes,8.6,87,Single,Electronic,Yes,A,IP20,Stainless Steel,124,1.4,Floor Standing,1 M,XB660001,,N,96 l,Can deliver large peak and continuous volumes of hot water,Operates in most efficient mode (fully condensing),Reduces legionella risk due to temperature stored at 60°C,Low NOx levels,Small footprint allows installation in tight plantrooms,Low maintenance with no anode protection required,,,,,,Compliant with latest Ecodesign regulations for DHW,Corrosion-resistant stainless steel heat exchanger and tank reduces maintenance and increases system lifespan,Suitable for vented or unvented systems (optional unvented kit required),Easy to use standardised controls using ACVMax control system,Supplied with LPG kit for simple on-site conversion,Improved access for service and maintenance,Supplied with factory fitted T&P relief valve for ease of installation,,,,,
5,PV34017,Lincat Filterflow FX Counter-Top Boiler single tap automatic water boiler 3kw 31ltr p/h,Lincat,707.36,"Perfect for busy staff rooms, the 11L capacity Lincat Filterflow FX Counter-Top water boiler saves valuable minutes usually spent waiting for kettles to boil. Delivering instantaneous and generous hot water, the 3kW Filterflow FX incorporates inbuilt filtration for higher quality water, a user-friendly, full colour touchscreen display and an ECO mode which learns usage patterns and switches to 50% volume to save on power when not in use.",Water Heating and Storage/Water Heaters/Commercial Water Heaters/Commercial Water Heaters.csv -> Lincat Filterflow FX Counter-Top Boiler single tap automatic water boiler 3kw 31ltr p/h,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/18/V34017_V34018_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Lincat_IS590_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Lincat_EB3FX_Technical.pdf,,,,,,,,,,,,,,,
6,P137889,Andrews Water Heaters FASTflo PLUS WHIC56 wall hung NG continuous flow water heater,Andrews Water Heaters,1784.0,"Compact and easy to install, the flexible 2L storage Andrews FASTflo PLUS WHIC56 wall hung condensing instant water heater requires only the straightforward connection of gas, cold water in and hot water out. Designed for commercial premises such as small hotels, leisure facilities and pubs, the 56kW, ErP A-rated FASTflo PLUS can be installed on or off mains gas, inside or outside, giving customers access to hot, powerful water in even the most challenging locations.",Water Heating and Storage/Water Heaters/Commercial Water Heaters/Commercial Water Heaters.csv -> Andrews Water Heaters FASTflo PLUS WHIC56 wall hung NG continuous flow water heater,,Water heater;5x anchoring screw;Owner's guide;Installation Manual,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/89/137889_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Andrews_FASTflo_FASTflo_plus_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/s_/ps/Andrews_FASTfloPlus_PS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_i/nt/Andrews_FASTflo_WHiC56_Int.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Andrews_FASTflo_FASTflo_OwnersGuide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/137889_ErP.pdf,,,,,,,,,,,,
7,PD69735,Ariston Next Evo X 3632533 Instantaneous Water Heater (NG) 16L,Ariston,522.1,"Ideal for retrofitting, the 16L Ariston Next Evo X gas instantaneous water heater has an attractive, modern and compact design and intuitive, innovative functions for reliable and efficient hot water. ErP A-rated, the 30kW Next Evo X includes an oxygen-free heat exchanger and promises lower NOx emissions, while simple temperature and water flow adjustments ensure precise delivery and reduced waste.",Water Heating and Storage/Water Heaters/Commercial Water Heaters/Commercial Water Heaters.csv -> Ariston Next Evo X 3632533 Instantaneous Water Heater (NG) 16L,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/35/D69735_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ariston_NEXTEVOXFT_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/x_/ds/Ariston_NEXTEVOX_DS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ariston_NEXTEVOX_Brochure.pdf,,,,,,,,,,,,,,
8,P138376,Andrews Water Heaters ECOflo EC230/960 wall hung natural gas condensing water heater,Andrews Water Heaters,7527.0,"Highly energy efficient, with an ErP A rating, the low NOx 230L Andrews ECOflo EC230/960 fully condensing storage water heater offers impressive hot water recovery rates for comfort and convenience you can rely on. Featuring a Vitraglas® lined, thermally efficient tank protected by maintenance-free anodes and equipped with a Hydrojet® sediment reduction system, the 54.2kW ECOflo is designed to ensure uninterrupted hot water performance for years to come.",Water Heating and Storage/Water Heaters/Commercial Water Heaters/Commercial Water Heaters.csv -> Andrews Water Heaters ECOflo EC230/960 wall hung natural gas condensing water heater,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/80/138374_138380_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Andrews_Ecoflo_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/t_/ps/Andrews_Multipoint_PS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Andrews_Ecoflo_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Andrews_WH_Spec_Guide_July_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/138376_Erp.pdf,,,,,,,,,,,,
9,PV33956,Lincat FilterFlow wall mounted water boiler with black glass front electric 3kw,Lincat,678.56,"Designed for use in small spaces, the compact Lincat FilterFlow black glass wall-mounted water boiler provides 24/7 on-tap boiling water with built-in filtration for improved water quality and reduced limescale build-up.",Water Heating and Storage/Water Heaters/Commercial Water Heaters/Commercial Water Heaters.csv -> Lincat FilterFlow wall mounted water boiler with black glass front electric 3kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/57/NW-V33956_V33957_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Lincat_WMB3FB_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Lincat_WMB3FB-WMB3FW_Installation.pdf,,,,,,,,,,,,,,,
10,P137897,Andrews Water Heaters HIflo EVO HF 65/300 water heater,Andrews Water Heaters,8497.29,"A popular choice for properties requiring larger quantities of hot water, the Andrews HIflo EVO HF65/300 high efficiency floor-standing storage water heater offers a generous 300L of storage for fast, reliable hot water delivery. Straightforward to install and requiring minimal maintenance, the 65kW HIflo EVO features a highly reliable Correx® powered anode and Hydrojet® sediment reduction system, ensuring longevity and lower running costs.",Water Heating and Storage/Water Heaters/Commercial Water Heaters/Commercial Water Heaters.csv -> Andrews Water Heaters HIflo EVO HF 65/300 water heater,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/99/137895_137899_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Andrews_Hiflo_EVO_WH.Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Andrews_Hiflo_EVO_WH_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/o_/ps/Andrews_Hiflo_EVO_PS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/137897_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Andrews_Water_Heaters_Spec_Guide.pdf,,,,,,,,,,,,
11,P138776,Andrews Water Heaters MAXXflo EVO CWH 90/302 twin hex water heater 90kW 300ltr,Andrews Water Heaters,11276.0,"Incorporating multiple stainless steel heat exchanger modules, the highly efficient 300L Andrews MAXXflo EVO CWH 90/302 twin burner fully condensing floor-standing storage water heater provides fast, powerful hot water. Constructed from tough, high grade stainless steel, the 90kW MAXXflo EVO is built to last, minimising the need for ongoing maintenance and repair while keeping running costs and waste to a minimum with an eco-friendly ErP A rating.",Water Heating and Storage/Water Heaters/Commercial Water Heaters/Commercial Water Heaters.csv -> Andrews Water Heaters MAXXflo EVO CWH 90/302 twin hex water heater 90kW 300ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/77/138772_138777_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/138776_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Andrews_MAXXflo_EVO_WH_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/h_/ps/Andrews_MAXXflo_EVO_WH_PS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Andrews_MAXXflo_EVO_WH_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Andrews_MAXXflo_EVO_90_120_WH_Instal.pdf,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Andrews_Water_Heaters_Spec_Guide.pdf,,,,
12,P137879,Andrews Water Heaters CLASSICflo 20/360 standard NG water heater 20kW 360ltr,Andrews Water Heaters,4080.0,"Suitable for installation in vented, unvented or in boosted systems, the 360L capacity Andrews CLASSICflo 20/360 standalone gas-fired water heater is an ideal choice for heating water in light commercial premises as a replacement for outdated water heaters. Fast and simple to install and compatible with conventional flues, the low NOx 20kW CLASSICflo offers easy servicing and maintenance, making it particularly popular with engineers.",Water Heating and Storage/Water Heaters/Commercial Water Heaters/Commercial Water Heaters.csv -> Andrews Water Heaters CLASSICflo 20/360 standard NG water heater 20kW 360ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/79/137875_137879_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Andrews_CLASSICfloWaterHeater_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/137879_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Andrews_CLASSICflo_WH_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Andrews_Water_Heaters_Spec_Guide.pdf,,,,,,,,,,,,,
13,P137894,Andrews Water Heaters CLASSICflo FAN FLUED RFF 18/270 natural gas water heater,Andrews Water Heaters,3899.0,"The 270L Andrews CLASSICflo FAN FLUED RFF 18/270 water heater offers all the preferred features of the CLASSICflo, including simple operation controls and efficient CFC-free insulation, with the added benefit and convenience of a fan flue for improved installation flexibility. The durable and efficient CLASSICflo FAN FLUED heater promises ultra-low NOx emissions for peace of mind and compliance with the most up-to-date regulations.",Water Heating and Storage/Water Heaters/Commercial Water Heaters/Commercial Water Heaters.csv -> Andrews Water Heaters CLASSICflo FAN FLUED RFF 18/270 natural gas water heater,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/94/137893_137894_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Andrews_CLASSICflo_Fan_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/137894_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Andrews_CLASSICflo_Fan_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/n_/ps/Andrews_CLASSICflo_Fan_PS.pdf,,,,,,,,,,,,,
14,P138378,Andrews Water Heaters ECOflo EC380/980 wall hung natural gas condensing water heater,Andrews Water Heaters,8377.0,"Highly energy efficient, with an ErP A rating, the low NOx 380L Andrews ECOflo EC380/980 fully condensing storage water heater offers impressive hot water recovery rates for comfort and convenience you can rely on. Featuring a Vitraglas® lined, thermally efficient tank protected by maintenance-free anodes and equipped with a Hydrojet® sediment reduction system, the 57.1kW ECOflo is designed to ensure uninterrupted hot water performance for years to come.",Water Heating and Storage/Water Heaters/Commercial Water Heaters/Commercial Water Heaters.csv -> Andrews Water Heaters ECOflo EC380/980 wall hung natural gas condensing water heater,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/80/138374_138380_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Andrews_Ecoflo_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/t_/ps/Andrews_Multipoint_PS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/138378_Erp.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Andrews_Ecoflo_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Andrews_WH_Spec_Guide_July_2020.pdf,,,,,,,,,,,,
15,PS08027,Acv WaterMaster 70 Evo condensing direct gas-fired water heater,Acv,6268.0,"Supplying reliably high peak and continuous water volumes, the ACV WaterMaster 70 Evo condensing direct gas-fired water heater has a small overall size for ease of installation, even in the tightest plant room. ErP A-rated, this highly efficient 190L water heater uses clever tank-in-tank technology for great energy savings.",Water Heating and Storage/Water Heaters/Commercial Water Heaters/Commercial Water Heaters.csv -> Acv WaterMaster 70 Evo condensing direct gas-fired water heater,,"WaterMaster, Robokit, Flue Measuring Tube",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/27/S08027_wm.jpg,White,Threaded,80,WaterMaster,5 Years,298,N,XXL,60,68 kW,787,27,No,3.5,95,Multi Point,Electronic,No,A,IP20,Stainless Steel,124,1.4,Floor Standing,1,XB660004,,N,190 l,Small footprint for ease of installation in any plant room,Floor-standing installation,Up to 98% gross efficiency,Stainless steel heat exchanger and DHW tank,Low maintenance and long service life,ACVMax control system offers simple standardised controls,,,,,,With LPG kit for easy on-site conversion,"Continuous flow rates up to 3,402 LPH",IP20 rated,5 year warranty,,,,,,,,
16,PS08116,Acv HeatMaster 70TC Evo combined fully condensing boiler and water heater,Acv,7694.0,"Combining the functions of a condensing boiler and water heater, the ACV HeatMaster 70TC Evo combined unit is suitable for use in both commercial and domestic properties. Offering a heat output of up to 121kW, this compact boiler and water heater has a capacity of 190L and boasts an ErP A rating for reliable efficiency during use.",Water Heating and Storage/Water Heaters/Commercial Water Heaters/Commercial Water Heaters.csv -> Acv HeatMaster 70TC Evo combined fully condensing boiler and water heater,,"HeatMaster TC, Flue measuring tube",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/16/S08116_wm.jpg,White,Threaded,80,HeatMaster,5 Years,298,N,XXL,60,68 kW,787,27,No,3.5,95,Multi Point,Electronic,No,A,IP20,Stainless Steel,124,1.4,Floor Standing,1,XB550004,,N,190 l,Space-saving floor-standing solution,Single unit reduces installation time,Reduces energy use compared to separate heating and hot water units,Offers up to 98% gross efficiency,Stainless steel heat exchanger and DHW tank,Low maintenance and long service life,,,,,,ACVMax control system offers simple standardised controls,With LPG kit for easy on-site conversion,"Continuous flow rates up to 3,402 LPH",IP20 rated,5 year warranty,,,,,,,
