,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Range,Hazardous,Approvals,Equal / Unequal,End Connection A size,End Connection C size,Material,Size,Connection Type 1,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Connection Type,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Attachment 7,Attachment 8,Diameter,End Connection B size,Grade,Angle,Feature 8,Feature 9,Feature 10,Weight,Material Type,Attachment 9,Connection Type 2,Operating Temperature,Warranty,Colour
0,PL13466,TracPipeCC FGP flexible gas pipe DN32 x 45mtr (Per Meter),TracPipeCC,30.42,This TracPipe FGP 32mm yellow gas pipe is supplied in 45M lengths.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Pipe Fittings.csv -> TracPipeCC FGP flexible gas pipe DN32 x 45mtr (Per Meter)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/70/NW-L13459_L13470_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/TracPipe_UKdi_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TracPipe_TracPipeCC_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P517483,Polypipe Polyfit 15mm Metal Pipe Stiffener,Polypipe,0.9,"This Polypipe Polyfit 15mm pipe stiffener is a quick way to reinforce the cut end of pipe where it will be inserted into the plumbing fitting. Made of metal, this fitting is compatible with PolyPlumb, PolyFit and PolyMax push-fit ranges.","Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Pipe Fittings.csv -> Polypipe Polyfit 15mm Metal Pipe Stiffener",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/84/NW-517483_517484_wm.jpg,,,PolyFit,N,BS7291BBA 00/36Reg4,N/A,15mm,N/A,Metal,15 mm,Push-Fit,PP6415M,Pipe Stiffener,N,Steel colour,Made from metal,High quality finish,Suitable for all types of commercial and domestic installations,Meets BS 7291,Meets BBA 00/3699,Meets Reg4,,,,,,,,,,,,,,,,,,,,,
2,P517484,Polypipe Polyfit 22mm Metal Pipe Stiffener,Polypipe,1.1,"This Polypipe Polyfit 22mm pipe stiffener is a quick way to reinforce the cut end of pipe where it will be inserted into the plumbing fitting. Made of metal, this fitting is compatible with PolyPlumb, PolyFit and PolyMax push-fit ranges.","Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Pipe Fittings.csv -> Polypipe Polyfit 22mm Metal Pipe Stiffener",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/84/NW-517483_517484_wm.jpg,,,PolyFit,N,BS7291BBA 00/36Reg4,N/A,22mm,N/A,Metal,22 mm,Push-Fit,PP6422M,Pipe Stiffener,N,Steel colour,Made from metal,High quality finish,Suitable for all types of commercial and domestic installations,Meets BS 7291,Meets BBA 00/3699,Meets Reg4,Push Fit,,,,,,,,,,,,,,,,,,,,
3,PL13038,"TracPipe FGP male BSP adaptor 54mm x 2""",TracPipe,160.93,"This TracPipe FGP 54mm x 2"" adapter includes AutoFlare compression x BSP male connections.","Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Pipe Fittings.csv -> TracPipe FGP male BSP adaptor 54mm x 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/38/NW-L13034_L13038_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/TracPipe_UKdi_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TracPipe_TracPipeCC_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P531177,Polypipe Polyfit 10mm Metal Pipe Stiffener,Polypipe,0.93,"This Polypipe Polyfit 10mm pipe stiffener is a quick way to reinforce the cut end of pipe where it will be inserted into the plumbing fitting. Made of metal, this fitting is compatible with PolyPlumb, PolyFit and PolyMax push-fit ranges.","Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Pipe Fittings.csv -> Polypipe Polyfit 10mm Metal Pipe Stiffener",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/77/NW-531177_wm.jpg,,,PolyFit,N,BS7291BBA 00/36Reg4,N/A,10mm,N/A,Metal,10mm,Push-Fit,PP6410M,Pipe Stiffener,N,Steel colour,Made from metal,High quality finish,Suitable for all types of commercial and domestic installations,Meets BS 7291,Meets BBA 00/3699,Meets Reg4,,,,,,,,,,,,,,,,,,,,,
5,PM12383,"Crane 152G galvanised malleable male x female elbow 3/8""",Crane,6.1,"This Crane 152 90° elbow is made of malleable iron with 3/8 x 3/8"" BSP tapered connections. This fitting is suitable for use in sprinkler systems, chilled or heating water, natural gas, compressed air, hot water and steam and fuel transfer.","Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Pipe Fittings.csv -> Crane 152G galvanised malleable male x female elbow 3/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/89/NW-M12383_M12389_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Crane_UL_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Crane_Malleable_Pipe_Fittings_Brcr.pdf,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/03/82/Crane_KM_00382.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tm/nt/Crane_StressCorrosionCracking_Sttmnt.pdf,,,,,,,,,,,,,,,,,,
6,PL13445,TracPipe FGP adaptor compression fit 32 x 22mm,TracPipe,80.06,This TracPipe FGP 32 x 22mm straight adapter includes AutoFlare x copper compression connections.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Pipe Fittings.csv -> TracPipe FGP adaptor compression fit 32 x 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/46/NW-L13440_L13446_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/TracPipe_UKdi_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TracPipe_TracPipeCC_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PL13457,TracPipe FGP compression adaptor fitting 28mm,TracPipe,90.43,This TracPipe FGP 32 x 28mm straight adapter includes AutoFlare x copper compression connections.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Pipe Fittings.csv -> TracPipe FGP compression adaptor fitting 28mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/57/NW-L13457_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/TracPipe_UKdi_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TracPipe_TracPipeCC_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PM15487,Geberit Mapress straight coupling 108mm Stainless Steel,Geberit,95.59,"This Geberit Mapress 108 x 108mm coupler is made of stainless steel with press-fit connections. It is suitable for use in cold/hot potable water, heating water, cooling water with or without anti-freeze agent, remote network heating water less than or equal to120°C, saturated steam less than or equal to120°C, service water, treated water, rainwater with a pH value of greater than6, grey or black water with pH value greater than6, extinguishing water (wet), sprinklers (wet), chemicals/technical liquids, compressed air (oil purity class 0 - 3), negative pressure, inert gases such as nitrogen, industrial gases including acetylene and shielding gases and in technical building systems, industry and shipbuilding.","Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Pipe Fittings.csv -> Geberit Mapress straight coupling 108mm Stainless Steel",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/87/NW-M15485_M15487_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/vi/ew/Geberit_Mapress_SS_Gaseous_Overview.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Geberit_Mapress_SS_Coupling_Tech.pdf,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/vi/ew/Geberit_Mapress_SS_Liquid_Overview.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Geberit_Supply_Systems_Product_Guide.pdf,,,,,,,,,,,,,,,,,,
9,PL13064,TracPipe FGP coupling 22mm,TracPipe,36.27,This TracPipe FGP 22 x 22mm AutoFlare coupling has compression ends.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Pipe Fittings.csv -> TracPipe FGP coupling 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/67/NW-L13064_L13067_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/TracPipe_UKdi_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TracPipe_TracPipeCC_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PM15720,Geberit Mapress 90deg elbow 15mm Stainless Steel,Geberit,11.56,"This Geberit Mapress 15 x 15mm 90° bend is made of stainless steel with press-fit connections. It is suitable for use in cold/hot potable water, heating water, cooling water with or without anti-freeze agent, remote network heating water less than or equal to120°C, saturated steam less than or equal to120°C, service water, treated water, rainwater with a pH value of greater than6, grey or black water with pH value greater than6, extinguishing water (wet), sprinklers (wet), chemicals/technical liquids, compressed air (oil purity class 0 - 3), negative pressure, inert gases such as nitrogen, industrial gases including acetylene and shielding gases and in technical building systems, industry and shipbuilding.","Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Pipe Fittings.csv -> Geberit Mapress 90deg elbow 15mm Stainless Steel",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/23/NW-M15720_M15723_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/vi/ew/Geberit_Mapress_SS_Gaseous_Overview.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Geberit_Mapress_Env_Prdt_Declaration.pdf,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Geberit_Mapress_SS_Bend_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/vi/ew/Geberit_Mapress_SS_Liquid_Overview.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Geberit_Supply_Systems_Product_Guide.pdf,,,,,,,,,,,,,,,,,
11,PM15900,"Geberit Mapress male iron straight connector 15mm x 1/2"" Stainless Steel",Geberit,14.87,"This Geberit Mapress 15mm x 1/2"" adapter is made of stainless steel with press-fit x male thread connections. It is suitable for use in cold/hot potable water, heating water, cooling water with or without anti-freeze agent, remote network heating water less than or equal to120°C, saturated steam less than or equal to120°C, service water, treated water, rainwater with a pH value of greater than6, grey or black water with pH value greater than6, extinguishing water (wet), sprinklers (wet), chemicals/technical liquids, compressed air (oil purity class 0-3), negative pressure, inert gases such as nitrogen, industrial gases including acetylene and shielding gases and in technical building systems, industry and shipbuilding.","Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Pipe Fittings.csv -> Geberit Mapress male iron straight connector 15mm x 1/2"" Stainless Steel",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/01/NW-M15900_M15901_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/vi/ew/Geberit_Mapress_SS_Gaseous_Overview.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Geberit_Mapress_SS_Adaptor_M_Th_Tech.pdf,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/vi/ew/Geberit_Mapress_SS_Liquid_Overview.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Geberit_Supply_Systems_Product_Guide.pdf,,,,,,,,,,,,,,,,,,
12,PR75000,Pegler VSH XPress straight coupling 15mm Stainless Steel,Pegler,6.06,"Made of stainless steel, this VSH Xpress SS1 15 x 15mm coupler includes press-fit end connections. Optimised for use as part of a system, XPress 316L (1.4404) stainless steel is suitable for potable water applications where water quality and hygiene are vital, in industries such as food, pharmaceuticals and healthcare and in chilled water applications. XPress Stainless provides resistance to RO (reverse osmosis) purified water with a low pH and extremely low dissolved solid content.","Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Pipe Fittings.csv -> Pegler VSH XPress straight coupling 15mm Stainless Steel",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/00/NW-R75000_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ov/al/VSH_XPress_Type_DVGW_Approval.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Pegler_VSH_Fittings_BV_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/VSH_XPress_SS1_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fi/ct/Pegler_VSH_Xpress_1907002_Certifict.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/VSH_XPress_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/VSH_XPress_Stainless_Flow_Charts.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/PeglerYorkshire_VSH_XPress_Catalogue.pdf,,,,,,,,,,,,,,,
13,PM15722,Geberit Mapress 90deg elbow 22mm Stainless Steel,Geberit,15.72,"This Geberit Mapress 22 x 22mm 90° bend is made of stainless steel with press-fit connections. It is suitable for use in cold/hot potable water, heating water, cooling water with or without anti-freeze agent, remote network heating water less than or equal to120°C, saturated steam less than or equal to120°C, service water, treated water, rainwater with a pH value of greater than6, grey or black water with pH value greater than6, extinguishing water (wet), sprinklers (wet), chemicals/technical liquids, compressed air (oil purity class 0 - 3), negative pressure, inert gases such as nitrogen, industrial gases including acetylene and shielding gases and in technical building systems, industry and shipbuilding.","Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Pipe Fittings.csv -> Geberit Mapress 90deg elbow 22mm Stainless Steel",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/23/NW-M15720_M15723_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Geberit_Mapress_Env_Prdt_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/vi/ew/Geberit_Mapress_SS_Gaseous_Overview.pdf,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Geberit_Mapress_SS_Bend_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/vi/ew/Geberit_Mapress_SS_Liquid_Overview.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Geberit_Supply_Systems_Product_Guide.pdf,,,,,,,,,,,,,,,,,
14,PR75059,"Pegler VSH XPress SS2 female iron straight connector 22mm x 3/4"" Stainless Steel",Pegler,16.48,"Made of 316L stainless steel, this VSH Xpress SS2 22mm x 3/4"" connector incorporates press-fit x BSP parallel female thread end connections and Leak Before Press technology, developed to provide instant identification of joints that are correctly assembled but mistakenly unpressed, saving on time, money and expensive call-outs. Optimised for use as part of a system, XPress stainless steel is suitable for potable water applications where water quality and hygiene are vital, in industries such as food, pharmaceuticals and healthcare and in chilled water applications. XPress Stainless provides resistance to RO (reverse osmosis) purified water with a low pH and extremely low dissolved solid content.","Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Pipe Fittings.csv -> Pegler VSH XPress SS2 female iron straight connector 22mm x 3/4"" Stainless Steel",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/59/NW-R75059_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/VSH_Xpress_SS2_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ov/al/VSH_XPress_Type_DVGW_Approval.pdf,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Pegler_VSH_Fittings_BV_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/if/ct/Pegler_LPCB-VSH_Fittings_BV_Certifct.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fi/ct/Pegler_VSH_Xpress_1907002_Certifict.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/VSH_XPress_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/VSH_XPress_Stainless_Flow_Charts.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/PeglerYorkshire_VSH_XPress_Catalogue.pdf,,,,,,,,,,,,,,
15,PR02968,A403 304 SCH40S CON. REDUCER WLD     6X4,Starfit,37.28,TBC,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Pipe Fittings.csv -> A403 304 SCH40S CON. REDUCER WLD     6X4",,n/a,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/68/R02968_wm.jpg,,,SCH40S,N,PED,Unequal,6,N/A,304,150 x 100,,R02968,,N,,,,,,,,butt weld,,,,,,,6 x 4,4,304 LW,,,,,,,,,,,
16,PM15865,Geberit Mapress reducer 54 x 42mm Stainless Steel,Geberit,46.36,"This Geberit Mapress 54 x 42mm reducer is made of stainless steel with plain end x press-fit connections. It is suitable for use in cold/hot potable water, heating water, cooling water with or without anti-freeze agent, remote network heating water less than or equal to120°C, saturated steam less than or equal to120°C, service water, treated water, rainwater with a pH value of greater than6, grey or black water with pH value greater than6, extinguishing water (wet), sprinklers (wet), chemicals/technical liquids, compressed air (oil purity class 0 - 3), negative pressure, inert gases such as nitrogen, industrial gases including acetylene and shielding gases and in technical building systems, industry and shipbuilding.","Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Pipe Fittings.csv -> Geberit Mapress reducer 54 x 42mm Stainless Steel",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/65/NW-M15863_M15865_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/vi/ew/Geberit_Mapress_SS_Gaseous_Overview.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Geberit_Mapress_SS_Reducer_Technical.pdf,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/vi/ew/Geberit_Mapress_SS_Liquid_Overview.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Geberit_Supply_Systems_Product_Guide.pdf,,,,,,,,,,,,,,,,,,
17,PM15942,"Geberit Mapress female iron reduced branch tee 54 x 54mm x 1/2"" Stainless Steel",Geberit,44.72,"This Geberit Mapress 54mm x 1/2"" x 54mm 90° reducer tee is made of stainless steel with press-fit x female thread connections. It is suitable for use in cold/hot potable water, heating water, cooling water with or without anti-freeze agent, remote network heating water less than or equal to120°C, saturated steam less than or equal to120°C, service water, treated water, rainwater with a pH value of greater than6, grey or black water with pH value greater than6, extinguishing water (wet), sprinklers (wet), chemicals/technical liquids, compressed air (oil purity class 0 - 3), negative pressure, inert gases such as nitrogen, industrial gases including acetylene and shielding gases and in technical building systems, industry and shipbuilding.","Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Pipe Fittings.csv -> Geberit Mapress female iron reduced branch tee 54 x 54mm x 1/2"" Stainless Steel",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/42/NW-M15942_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/vi/ew/Geberit_Mapress_SS_Gaseous_Overview.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/vi/ew/Geberit_Mapress_SS_Liquid_Overview.pdf,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Geberit_Mapress_SS_Tee_F_Thread_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Geberit_Supply_Systems_Product_Guide.pdf,,,,,,,,,,,,,,,,,,
18,P701338,Steelcom Fittings 316/L EN10253-4 press cap ends 104MM,Steelcom Fittings,12.83,This Steelcom Fittings metric 104mm pressed end cap has butt weld connections and a 316L stainless steel construction,"Pipe, Valves and Fittings/Metal Pipe Fittings/Stainless Steel Pipe Fittings/Stainless Steel Pipe Fittings.csv -> Steelcom Fittings 316/L EN10253-4 press cap ends 104MM",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/41/701316_701341_wm.jpg,,,,N,N/A,N/A,104mm,N/A,316L Stainless Steel,104mm x 2.0mm,,FO0L016L0010402000,Butt-weld fitting,N,Butt-weld connection,Manufactured in 316L stainless steel,Meets European Standard EN 10253 - EN 10204 3.1 test certificates,,,,,butt weld,,,,,,,,N/A,,,,,,,,,,,,
