,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Colour,Hazardous,Dimensions (L x W x D),Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Application,Feature 3,Attachment 3,Weight,Dimensions mm (H x W x D)
0,PP94320,Mitras G70036 gas surface box,Mitras,136.08,"Ideal for use in conversions, this Mitras MK2 480 x 503mm surface-mounted gas meter box with back plate and cover can be used where there is no cavity to build into and can be used as a replacement cover for a broken meter box when the back plate is removed.",Parts and Spares/sub_categories/Metering/Metering.csv -> Mitras G70036 gas surface box,,Gas meter box;Back plate;Cover;Meter box key,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/20/NW-P94320_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Mitras_G70036_Technical.pdf,,,,,,,,,,,,,,,
1,PP94318,Mitras G30060/70 gas surface cover and door,Mitras,146.35,This Mitras 450 x 227 x 506mm surface mounted gas cover door replaces the cover for the MK1 surface-mounted gas meter box by hooking over an existing back plate.,Parts and Spares/sub_categories/Metering/Metering.csv -> Mitras G30060/70 gas surface cover and door,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/18/NW-P94318_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Mitras_G30060-70_Technical.pdf,,,,,,,,,,,,,,,
2,PP94321,Mitras G70037 gas surface door,Mitras,65.71,"This Mitras 340 x 380mm vented door complies with Transco PR58 regulations. Suitable for the MK2 surface mounted gas meter box, this door is made of glass reinforced white plastic.",Parts and Spares/sub_categories/Metering/Metering.csv -> Mitras G70037 gas surface door,,Door;Latch;Pin hinge,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/21/NW-P94321_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Mitras_G70037_Technical.pdf,,,,,,,,,,,,,,,
3,PP94317,Mitras MK1 gas surface box door,Mitras,76.4,"Measuring 210 x 25mm, this Mitras MK1 surface box door is designed for use in the MK1 surface gas cover.",Parts and Spares/sub_categories/Metering/Metering.csv -> Mitras MK1 gas surface box door,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/17/P94317_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/P94317_Technical.pdf,,,,,,,,,,,,,,,
4,P171255,JET Range Multi pulsed BSP cold water meter 25mm,JET Range,283.78,This JET Range MultiJET Range Class B type cold water meter has an epoxy powder-coated finish and 25mm screwed BSP for union connection. It is provided with a low flow indicator wheel.,Parts and Spares/sub_categories/Metering/Metering.csv -> JET Range Multi pulsed BSP cold water meter 25mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/59/NW-171253_171259_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_Water_Meter_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Jet_Water_Meter_Instructions.pdf,,,,,,,,,,,,,,
5,P171275,JET Range MultiJET Range pulsed BSP hot water meter 25mm,JET Range,308.15,This JET Range MultiJET Range Class B type hot water meter has an epoxy powder-coated finish and 25mm screwed BSP for union connection. It is provided with a low flow indicator wheel.,Parts and Spares/sub_categories/Metering/Metering.csv -> JET Range MultiJET Range pulsed BSP hot water meter 25mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/79/NW-171273_171279_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_Water_Meter_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Jet_Water_Meter_Instructions.pdf,,,,,,,,,,,,,,
6,P597901,Mitras door for mitras recessed gas M-box White,Mitras,46.46,This Mitras 383 x 550mm recessed gas meter box door is made of glass reinforced white plastic.,Parts and Spares/sub_categories/Metering/Metering.csv -> Mitras door for mitras recessed gas M-box White,,Door;Latch;Hinge,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/01/NW-597901_wm.jpg,,,White,N,383 x 548mm,DMC (Dough Moulding Compound),G01031,Gas Meter Door,N,"Reliable, Robust products",High Quality Material,,,,,
7,P171243,JET Range Multi non pulsed cold water meter   15mm,JET Range,163.31,This JET Range MultiJET Range Class B type cold water meter has an epoxy powder-coated finish and 15mm screwed BSP for union connection. It is provided with a low flow indicator wheel.,Parts and Spares/sub_categories/Metering/Metering.csv -> JET Range Multi non pulsed cold water meter   15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/44/NW-171243_171244_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Jet_Water-Gas-Heat_Meters_Tech_Guide.pdf,,,,,,,,,,,,,,,
8,P507902,Mitras IS0030-A spare gas meter box lid,Mitras,223.66,This Mitras 415 x 440mm brown replacement gas meter box lid is compatible with the Mitras Connect semi-buried gas meter box. It may be required where a box lid has been damaged or removed.,Parts and Spares/sub_categories/Metering/Metering.csv -> Mitras IS0030-A spare gas meter box lid,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/02/507902_wm.jpg,,,Brown,N,,Glass Reinforced Plastic,IS0030-A,Gas Meter Box Lid,N,Brown colour,Glass-reinforced plastic construction,Gas Meter Box,Compatible with Mitras Connect meter box,,,
9,PN22011,"Socla pair of unions female 1.1/4 x male 1""",Socla,94.88,"Made of brass, this Socla 1 1/4"" x 1"" x 25mm union for water meters incorporates a BSP female x male connection.","Parts and Spares/sub_categories/Metering/Metering.csv -> Socla pair of unions female 1.1/4 x male 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/11/NW-N22010_N22011_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Jet_Water-Gas-Heat_Meters_Tech_Guide.pdf,,,,,,,,,,,,,,,
10,PP94338,Mitras G60054 spare lid for Connect semi-buried gas meter box (minimmum order quantity of 20),Mitras,89.45,This Mitras 415 x 440mm brown glass reinforced plastic door is for a Connect semi-buried gas meter box.,Parts and Spares/sub_categories/Metering/Metering.csv -> Mitras G60054 spare lid for Connect semi-buried gas meter box (minimmum order quantity of 20),,Door;Latch;Fixings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/38/NW-P94338_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Mitras_G60054_Technical.pdf,,,,,,,,,,,,,,,
11,PP94337,Mitras G20002 gas built-in spare door,Mitras,91.25,This Mitras 455 x 539mm white glass reinforced plastic door is for a MK1 (British Gas) recessed gas meter box.,Parts and Spares/sub_categories/Metering/Metering.csv -> Mitras G20002 gas built-in spare door,,Door;Latch;Pin hinge,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/37/NW-P94337_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Mitras_G20002_Technical.pdf,,,,,,,,,,,,,,,
12,PP94335,Mcl Composites plastic latch kit,Mcl Composites,7.33,Made of plastic this MCL meter box latch kit is designed to fit all gas meter boxes. It will not fit electric recessed meter boxes.,Parts and Spares/sub_categories/Metering/Metering.csv -> Mcl Composites plastic latch kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/35/NW-P94335_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/MCL_Meter_Box_Brochure.pdf,,,,,,,,,,,,,,,
13,PP94316,Mitras G00016-L gas door current model standard,Mitras,71.2,This Mitras 383 x 550mm recessed gas meter box door is made of glass reinforced white plastic.,Parts and Spares/sub_categories/Metering/Metering.csv -> Mitras G00016-L gas door current model standard,,Door;Latch;Hinge,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/16/NW-P94316_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Mitras_IS0001_Technical.pdf,,,,,,,,,,,,,,,
14,P171256,JET Range Multi pulsed BSP cold water meter 32mm,JET Range,350.1,This JET Range MultiJET Range Class B type cold water meter has an epoxy powder-coated finish and 32mm screwed BSP for union connection. It is provided with a low flow indicator wheel.,Parts and Spares/sub_categories/Metering/Metering.csv -> JET Range Multi pulsed BSP cold water meter 32mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/59/NW-171253_171259_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_Water_Meter_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Jet_Water_Meter_Instructions.pdf,,,,,,,,,,,,,,
15,P171258,JET Range Multi pulsed BSP cold water meter 50mm,JET Range,907.23,This JET Range MultiJET Range Class B type cold water meter has an epoxy powder-coated finish and 50mm screwed BSP for union connection. It is provided with a low flow indicator wheel.,Parts and Spares/sub_categories/Metering/Metering.csv -> JET Range Multi pulsed BSP cold water meter 50mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/59/NW-171253_171259_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_Water_Meter_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Jet_Water_Meter_Instructions.pdf,,,,,,,,,,,,,,
16,P171277,JET Range Multi pulsed BSP hot water meter 40mm,JET Range,635.26,This JET Range MultiJET Range Class B type hot water meter has an epoxy powder-coated finish and 40mm screwed BSP for union connection. It is provided with a low flow indicator wheel.,Parts and Spares/sub_categories/Metering/Metering.csv -> JET Range Multi pulsed BSP hot water meter 40mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/79/NW-171273_171279_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_Water_Meter_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Jet_Water_Meter_Instructions.pdf,,,,,,,,,,,,,,
17,P171253,JET Range Multi pulsed BSP cold water meter 15mm,JET Range,189.96,This JET Range MultiJET Range Class B type cold water meter has an epoxy powder-coated finish and 15mm screwed BSP for union connection. It is provided with a low flow indicator wheel.,Parts and Spares/sub_categories/Metering/Metering.csv -> JET Range Multi pulsed BSP cold water meter 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/59/NW-171253_171259_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_Water_Meter_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Jet_Water_Meter_Instructions.pdf,,,,,,,,,,,,,,
18,P171244,JET Range Multi non pulsed cold water meter   20mm,JET Range,171.39,"Supplied with a low flow indicator wheel, this JET Range MultiJET Range Class B-type non-pulsed cold water meter has an epoxy powder-coated finish and 20mm screwed BSP for union connection. Fitted with a large size dial for easy reading, this high performance meter has a robust brass body and offers simple horiztonal installation.",Parts and Spares/sub_categories/Metering/Metering.csv -> JET Range Multi non pulsed cold water meter   20mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/44/NW-171243_171244_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Jet_Water-Gas-Heat_Meters_Tech_Guide.pdf,,,,,,,,,,,,,,,
