,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Colour,Hazardous,Approvals,Material,Size,Wall Thickness (mm),Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Diameter,Type,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Weight,Pack Quantity,Connection Type 1,Range,Feature 7,Feature 8
0,PL15075,"Geldbach SCH40 HFS (API/A106) seamless carbon steel pipe 6"" x 168.3mm (Per metre)",Geldbach,87.06,"This Geldbach SCH40 6"" seamless carbon steel pipe is designed with 168.3mm thick walls. It is suitable for use in industrial applications.","Pipe, Valves and Fittings/Metal Pipe/Carbon Steel Pipe/Carbon Steel Pipe.csv -> Geldbach SCH40 HFS (API/A106) seamless carbon steel pipe 6"" x 168.3mm (Per metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/77/L15065_L15077_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Arcelormittal_LankwitzerHydro_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PM20067,Geberit Mapress carbon steel zinc plated pipe 54mm (6 metre),Geberit,21.44,"Made of carbon steel, this Geberit Mapress 54mm system pipe is finished with a robust external zinc plating.  Fitted with press-fit x plain end connections and supplied in a 6M length, this pipe is suitable for use in technical building systems, industry and shipbuilding applications.","Pipe, Valves and Fittings/Metal Pipe/Carbon Steel Pipe/Carbon Steel Pipe.csv -> Geberit Mapress carbon steel zinc plated pipe 54mm (6 metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M20067_Primary_Image_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Geberit_Mapress_CS_System_Pipe_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PM20066,Geberit Mapress carbon steel zinc plated pipe 42mm (6 metre),Geberit,16.51,"Made of carbon steel, this Geberit Mapress 42mm system pipe is finished with a robust external zinc plating.  Fitted with press-fit x plain end connections and supplied in a 6M length, this pipe is suitable for use in technical building systems, industry and shipbuilding applications.","Pipe, Valves and Fittings/Metal Pipe/Carbon Steel Pipe/Carbon Steel Pipe.csv -> Geberit Mapress carbon steel zinc plated pipe 42mm (6 metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M20066_Primary_Image_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Geberit_Mapress_CS_System_Pipe_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PL15095,"Geldbach SCH80 HFS (API/A106) seamless carbon steel pipe 2"" x 60.3mm (Per metre)",Geldbach,25.13,"This Geldbach SCH80 2"" seamless carbon steel pipe is designed with 60.3mm thick walls. It is suitable for use in industrial applications.","Pipe, Valves and Fittings/Metal Pipe/Carbon Steel Pipe/Carbon Steel Pipe.csv -> Geldbach SCH80 HFS (API/A106) seamless carbon steel pipe 2"" x 60.3mm (Per metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/98/L15090_L15098_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Arcelormittal_LankwitzerUV_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PL14025,Tata Install Plus hot EN 10255/17-2 heavy plain ends 50mm tube (Per metre),Tata,44.63,"Multi-certified, this Tata Install Plus 50mm hot-finished tube is especially designed to meet the needs of a wide range of building, engineering and industrial pipework applications. An ideal replacement for the withdrawn BS 1387 standard that doesn't allow for CE marking or satisfy construction products regulations (CPR), Install Plus is made of 4.5mm galvanised steel and supplied in a 64M length.","Pipe, Valves and Fittings/Metal Pipe/Carbon Steel Pipe/Carbon Steel Pipe.csv -> Tata Install Plus hot EN 10255/17-2 heavy plain ends 50mm tube (Per metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/30/NW-L14020_L14030_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Tata_Install_Plus_Tube_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PL14028,Tata Install Plus hot EN 10255/17-2 heavy plain ends 100mm tube (Per metre),Tata,97.89,"Multi-certified, this Tata Install Plus 100mm hot-finished tube is especially designed to meet the needs of a wide range of building, engineering and industrial pipework applications. An ideal replacement for the withdrawn BS 1387 standard that doesn't allow for CE marking or satisfy construction products regulations (CPR), Install Plus is made of 5.4mm galvanised steel and supplied in a 64M length.","Pipe, Valves and Fittings/Metal Pipe/Carbon Steel Pipe/Carbon Steel Pipe.csv -> Tata Install Plus hot EN 10255/17-2 heavy plain ends 100mm tube (Per metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/30/NW-L14020_L14030_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Tata_Install_Plus_Tube_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PL14010,Tata Install Plus hot EN 10255/17-2 medium plain ends 150mm tube (Per metre),Tata,133.42,"Multi-certified, this Tata Install Plus 150mm hot-finished tube is especially designed to meet the needs of a wide range of building, engineering and industrial pipework applications. An ideal replacement for the withdrawn BS 1387 standard that doesn't allow for CE marking or satisfy construction products regulations (CPR), Install Plus is made of 5mm galvanised steel and supplied in a 64M length.","Pipe, Valves and Fittings/Metal Pipe/Carbon Steel Pipe/Carbon Steel Pipe.csv -> Tata Install Plus hot EN 10255/17-2 medium plain ends 150mm tube (Per metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/10/NW-L14000_L14010_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Tata_Install_Plus_Tube_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PL10139,Tata Install Plus hot EN 10255/17-2 heavy grooved ends 65mm half random tube (Per Meter),Tata,30.43,"Multi-certified, this Tata Install Plus 65mm hot-finished tube is especially designed to meet the needs of a wide range of building, engineering and industrial pipework applications. An ideal replacement for the withdrawn BS 1387 standard that doesn't allow for CE marking or satisfy construction products regulations (CPR), Install Plus is made of 4.5mm galvanised steel and supplied in a 32M length.","Pipe, Valves and Fittings/Metal Pipe/Carbon Steel Pipe/Carbon Steel Pipe.csv -> Tata Install Plus hot EN 10255/17-2 heavy grooved ends 65mm half random tube (Per Meter)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/43/NW-L10138_L10143_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Tata_Install_Plus_Tube_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PL15094,"Geldbach SCH80 HFS (API/A106) seamless carbon steel pipe 1.1/2"" x 48.3mm (Per metre)",Geldbach,22.55,"This Geldbach SCH80 1 1/2"" seamless carbon steel pipe is designed with 48.3mm thick walls. It is suitable for use in industrial applications.","Pipe, Valves and Fittings/Metal Pipe/Carbon Steel Pipe/Carbon Steel Pipe.csv -> Geldbach SCH80 HFS (API/A106) seamless carbon steel pipe 1.1/2"" x 48.3mm (Per metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/98/L15090_L15098_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Arcelormittal_LankwitzerUV_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PL15071,"Geldbach SCH40 HFS (API/A106) seamless carbon steel pipe 2.1/2"" x 73mm (Per metre)",Geldbach,27.99,"This Geldbach SCH40 2 1/2"" seamless carbon steel pipe is designed with 73mm thick walls. It is suitable for use in industrial applications.","Pipe, Valves and Fittings/Metal Pipe/Carbon Steel Pipe/Carbon Steel Pipe.csv -> Geldbach SCH40 HFS (API/A106) seamless carbon steel pipe 2.1/2"" x 73mm (Per metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/77/L15065_L15077_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Arcelormittal_LankwitzerUV_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PL14022,Tata Install Plus hot EN 10255/17-2 heavy plain ends 25mm tube (Per metre),Tata,22.22,"Multi-certified, this Tata Install Plus 25mm hot-finished tube is especially designed to meet the needs of a wide range of building, engineering and industrial pipework applications. An ideal replacement for the withdrawn BS 1387 standard that doesn't allow for CE marking or satisfy construction products regulations (CPR), Install Plus is made of 4mm galvanised steel and supplied in a 64M length.","Pipe, Valves and Fittings/Metal Pipe/Carbon Steel Pipe/Carbon Steel Pipe.csv -> Tata Install Plus hot EN 10255/17-2 heavy plain ends 25mm tube (Per metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/30/NW-L14020_L14030_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Tata_Install_Plus_Tube_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PL14027,Tata Install Plus hot EN 10255/17-2 heavy plain ends 80mm tube (Per metre),Tata,72.65,"Multi-certified, this Tata Install Plus 80mm hot-finished tube is especially designed to meet the needs of a wide range of building, engineering and industrial pipework applications. An ideal replacement for the withdrawn BS 1387 standard that doesn't allow for CE marking or satisfy construction products regulations (CPR), Install Plus is made of 5mm galvanised steel and supplied in a 64M length.","Pipe, Valves and Fittings/Metal Pipe/Carbon Steel Pipe/Carbon Steel Pipe.csv -> Tata Install Plus hot EN 10255/17-2 heavy plain ends 80mm tube (Per metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/30/NW-L14020_L14030_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Tata_Install_Plus_Tube_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PL14021,Tata Install Plus hot EN 10255/17-2 heavy plain ends 20mm tube (Per metre),Tata,15.21,"Multi-certified, this Tata Install Plus 20mm hot-finished tube is especially designed to meet the needs of a wide range of building, engineering and industrial pipework applications. An ideal replacement for the withdrawn BS 1387 standard that doesn't allow for CE marking or satisfy construction products regulations (CPR), Install Plus is made of 3.2mm galvanised steel and supplied in a 64M length.","Pipe, Valves and Fittings/Metal Pipe/Carbon Steel Pipe/Carbon Steel Pipe.csv -> Tata Install Plus hot EN 10255/17-2 heavy plain ends 20mm tube (Per metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/30/NW-L14020_L14030_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Tata_Install_Plus_Tube_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PL15097,"Geldbach SCH80 HFS (API/A106) steel pipe 3"" x 88.9mm (Per metre)",Geldbach,50.48,"This Geldbach SCH80 3"" seamless carbon steel pipe is designed with 88.9mm thick walls. It is suitable for use in industrial applications.","Pipe, Valves and Fittings/Metal Pipe/Carbon Steel Pipe/Carbon Steel Pipe.csv -> Geldbach SCH80 HFS (API/A106) steel pipe 3"" x 88.9mm (Per metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/98/L15090_L15098_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Arcelormittal_LankwitzerUV_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PL14001,Tata Install Plus hot EN 10255/17-2 medium plain ends 20mm tube (Per metre),Tata,12.3,"Multi-certified, this Tata Install Plus 20mm hot-finished tube is especially designed to meet the needs of a wide range of building, engineering and industrial pipework applications. An ideal replacement for the withdrawn BS 1387 standard that doesn't allow for CE marking or satisfy construction products regulations (CPR), Install Plus is made of 2.6mm galvanised steel and supplied in a 64M length.","Pipe, Valves and Fittings/Metal Pipe/Carbon Steel Pipe/Carbon Steel Pipe.csv -> Tata Install Plus hot EN 10255/17-2 medium plain ends 20mm tube (Per metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/10/NW-L14000_L14010_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Tata_Install_Plus_Tube_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PL14043,Tata Install Plus hot EN 10255/17-2 medium screw/socketed 32mm tube (Per metre),Tata,23.5,"Multi-certified, this Tata Install Plus 32mm hot-finished tube is especially designed to meet the needs of a wide range of building, engineering and industrial pipework applications. An ideal replacement for the withdrawn BS 1387 standard that doesn't allow for CE marking or satisfy construction products regulations (CPR), Install Plus is made of 3.2mm galvanised steel and supplied in a 64M length.","Pipe, Valves and Fittings/Metal Pipe/Carbon Steel Pipe/Carbon Steel Pipe.csv -> Tata Install Plus hot EN 10255/17-2 medium screw/socketed 32mm tube (Per metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/48/NW-L14040_L14048_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Tata_Install_Plus_Tube_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PL14006,Tata Install Plus hot EN 10255/17-2 medium plain ends 65mm tube (Per metre),Tata,45.61,"Multi-certified, this Tata Install Plus 65mm hot-finished tube is especially designed to meet the needs of a wide range of building, engineering and industrial pipework applications. An ideal replacement for the withdrawn BS 1387 standard that doesn't allow for CE marking or satisfy construction products regulations (CPR), Install Plus is made of 3.6mm galvanised steel and supplied in a 64M length.","Pipe, Valves and Fittings/Metal Pipe/Carbon Steel Pipe/Carbon Steel Pipe.csv -> Tata Install Plus hot EN 10255/17-2 medium plain ends 65mm tube (Per metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/10/NW-L14000_L14010_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Tata_Install_Plus_Tube_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PL14379,Tata Hot Tube 10255/17-2 red medium TBE 25mm HR,Tata,17.84,"Threaded at both ends, Tata Install Plus 25mm HR medium hot tube is a versatile selection for a range of applications. This pipe is manufactured in high strength carbon steel for reliable robustness and painted for a professional finished appearance.","Pipe, Valves and Fittings/Metal Pipe/Carbon Steel Pipe/Carbon Steel Pipe.csv -> Tata Hot Tube 10255/17-2 red medium TBE 25mm HR",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/_t/be/TATA_RED_TBE_wm.jpg,,Red,N,EN10255/EN10217,Carbon Steel,25 MED,3.2,258383,N,"Suitable for welded, grooved, threaded or flanged connections",Full EPDs and tech subs available,Manufactured in UK,Carbon steel construction,Quality red paint finish suitable for end fit,Meets EN10255 and EN10217 standards,,,,,,,,,,,,
