,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3
0,PK86308,JET Range 624 (WJ)PN16DJLME EPDM lever operated lugged butterfly valve 65mm,JET Range,418.02,"Suitable for use in a wide range of operations, this JET Range 621 fully-lugged wafer butterfly valve can be used with low temperature hot water, domestic hot water, potable water and chilled water. This lever-operated valve has a 65mm connection size, 16 bar pressure rating and EPDM lining.  A butterfly valve is a quarter-turn type valve designed to regulate or isolate the flow of a fluid. While in use the valve is fully open, and closed when its integral disc is rotated a quarter turn. These valves are lighter in weight than other valves, generally requiring less support.","Pipe, Valves and Fittings/Metal Pipe Valves/Butterfly Valves/Butterfly Valves.csv -> JET Range 624 (WJ)PN16DJLME EPDM lever operated lugged butterfly valve 65mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/13/NW-K86307_K86313_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,
1,PK28654,Crane F628 ductile iron fully lugged lever operated butterfly valve 100mm PN16,Crane,680.76,"This Crane F628 100mm connection manual butterfly valve has a lever-operated, epoxy-coated ductile iron body with a fully-lugged aluminium bronze disc. A butterfly valve is a quarter-turn type valve designed to regulate or isolate the flow of a fluid. While in use the valve is fully open or closed when its integral disc is rotated a quarter turn. These valves are lighter in weight than other valves, generally requiring less support.","Pipe, Valves and Fittings/Metal Pipe Valves/Butterfly Valves/Butterfly Valves.csv -> Crane F628 ductile iron fully lugged lever operated butterfly valve 100mm PN16",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/57/NW-K28651_K28657_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Crane_FS_Butterfly_Valves_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Crane_F614_628_Butterfly_Valve_Tech.pdf,
2,PK28653,Crane F628 ductile iron fully lugged lever operated butterfly valve 80mm PN16,Crane,473.44,"This Crane F628 80mm connection manual butterfly valve has a lever-operated, epoxy-coated ductile iron body with a fully-lugged aluminium bronze disc. A butterfly valve is a quarter-turn type valve designed to regulate or isolate the flow of a fluid. While in use the valve is fully open or closed when its integral disc is rotated a quarter turn. These valves are lighter in weight than other valves, generally requiring less support.","Pipe, Valves and Fittings/Metal Pipe Valves/Butterfly Valves/Butterfly Valves.csv -> Crane F628 ductile iron fully lugged lever operated butterfly valve 80mm PN16",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/57/NW-K28651_K28657_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Crane_FS_Butterfly_Valves_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Crane_F614_628_Butterfly_Valve_Tech.pdf,
3,PK86091,JET Range 614 nitrile lever operated lugged butterfly valve 100mm,JET Range,572.38,"This JET Range 614 100mm connection lever-operated butterfly valve, specifically for use in gas applications, has a ductile iron body with a stainless steel disc. A butterfly valve is a quarter-turn type valve designed to regulate or isolate the flow of a fluid. While in use the valve is fully open or closed when its integral disc is rotated a quarter turn. These valves are lighter in weight than other valves, generally requiring less support.","Pipe, Valves and Fittings/Metal Pipe Valves/Butterfly Valves/Butterfly Valves.csv -> JET Range 614 nitrile lever operated lugged butterfly valve 100mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/94/NW-K86088_K86094_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,
4,PK28620,Crane F614 ductile iron fully lugged lever operated butterfly valve 65mm PN16,Crane,497.78,"This Crane F614 65mm connection manual butterfly valve has a lever-operated, epoxy-coated ductile iron body with a fully-lugged aluminium bronze disc. A butterfly valve is a quarter-turn type valve designed to regulate or isolate the flow of a fluid. While in use the valve is fully open or closed when its integral disc is rotated a quarter turn. These valves are lighter in weight than other valves, generally requiring less support.","Pipe, Valves and Fittings/Metal Pipe Valves/Butterfly Valves/Butterfly Valves.csv -> Crane F614 ductile iron fully lugged lever operated butterfly valve 65mm PN16",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/25/NW-K28620_K28625_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Crane_FS_Butterfly_Valves_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Crane_F614_628_Butterfly_Valve_Tech.pdf,
5,PK86312,JET Range 624 EPDM lever operated lugged butterfly valve 150mm,JET Range,780.47,"Suitable for use in a wide range of operations, this JET Range 621 fully-lugged wafer butterfly valve can be used with low temperature hot water, domestic hot water, potable water and chilled water. This lever-operated valve has a 150mm connection size, 16 bar pressure rating and EPDM lining.  A butterfly valve is a quarter-turn type valve designed to regulate or isolate the flow of a fluid. While in use the valve is fully open, and closed when its integral disc is rotated a quarter turn. These valves are lighter in weight than other valves, generally requiring less support.","Pipe, Valves and Fittings/Metal Pipe Valves/Butterfly Valves/Butterfly Valves.csv -> JET Range 624 EPDM lever operated lugged butterfly valve 150mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/13/NW-K86307_K86313_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,
6,PK28602,Hattersley FIG. 970 ductile iron semi lugged lever operated butterfly valve 150mm PN16,Hattersley,674.89,"This Hattersley 970 lever-operated compact butterfly valve with 150mm connections has a ductile iron, elastomer-lined body with an aluminium bronze disc. A butterfly valve is a quarter-turn type valve designed to regulate or isolate the flow of a fluid. While in use the valve is fully open or closed when its integral disc is rotated a quarter turn. These valves are lighter in weight than other valves, generally requiring less support.","Pipe, Valves and Fittings/Metal Pipe Valves/Butterfly Valves/Butterfly Valves.csv -> Hattersley FIG. 970 ductile iron semi lugged lever operated butterfly valve 150mm PN16",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/02/NW-K28600_K28602_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Hattersley_970_970G_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Hattersley_Butterfly_Valve_Install.pdf,
7,PK37196,Pegler Valve V905G lugged butterfly valve 200mm,Pegler,1372.92,"A slimline design, this Pegler Valve V905G lugged butterfly valve with 200mm connections has a ductile iron body and stainless steel disc. A butterfly valve is a quarter-turn type valve designed to regulate or isolate the flow of a fluid. While in use the valve is fully open or closed when its integral disc is rotated a quarter turn. These valves are lighter in weight than other valves, generally requiring less support.","Pipe, Valves and Fittings/Metal Pipe Valves/Butterfly Valves/Butterfly Valves.csv -> Pegler Valve V905G lugged butterfly valve 200mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/96/NW-K37196_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Pegler_Yorkshire_V905G_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Pegler_Yorkshire_V905_V906_Install.pdf,
8,PK59052,"Crane Butterfly Valves F624 lever operated butterfly valve PN16 2""",Crane,416.39,"Suitable for applications requiring Level 3 C3 (medium) corrosion protection, this maintenance-free Crane F624 fully-lugged PN16 butterfly valve incorporates 2"" connections and a ductile iron body. This lever-operated valve has an aluminium bronze disc and aluminium alloy handle. It is suitable for a  temperature range of -10°C to 100°C.  A butterfly valve is a quarter-turn type valve designed to regulate or isolate the flow of a fluid. While in use the valve is fully open, and closed when its integral disc is rotated a quarter turn. These valves are lighter in weight than other valves, generally requiring less support.","Pipe, Valves and Fittings/Metal Pipe Valves/Butterfly Valves/Butterfly Valves.csv -> Crane Butterfly Valves F624 lever operated butterfly valve PN16 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/58/NW-K59052_K59058_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Crane_BFV_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Crane_F621_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/5-/01/Crane_BFV_WRAS_Cert_2025-01.pdf
9,PK86090,JET Range 614 nitrile lever operated lugged butterfly valve 80mm,JET Range,524.15,"This JET Range 614 80mm connection lever-operated butterfly valve, specifically for use in gas applications, has a ductile iron body with a stainless steel disc. A butterfly valve is a quarter-turn type valve designed to regulate or isolate the flow of a fluid. While in use the valve is fully open or closed when its integral disc is rotated a quarter turn. These valves are lighter in weight than other valves, generally requiring less support.","Pipe, Valves and Fittings/Metal Pipe Valves/Butterfly Valves/Butterfly Valves.csv -> JET Range 614 nitrile lever operated lugged butterfly valve 80mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/94/NW-K86088_K86094_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,
10,PK86309,JET Range 624 (WJ)PN16DJLME EPDM lever operated lugged butterfly valve 80mm,JET Range,524.15,"Suitable for use in a wide range of operations, this JET Range 621 fully-lugged wafer butterfly valve can be used with low temperature hot water, domestic hot water, potable water and chilled water. This lever-operated valve has a 80mm connection size, 16 bar pressure rating and EPDM lining.  A butterfly valve is a quarter-turn type valve designed to regulate or isolate the flow of a fluid. While in use the valve is fully open, and closed when its integral disc is rotated a quarter turn. These valves are lighter in weight than other valves, generally requiring less support.","Pipe, Valves and Fittings/Metal Pipe Valves/Butterfly Valves/Butterfly Valves.csv -> JET Range 624 (WJ)PN16DJLME EPDM lever operated lugged butterfly valve 80mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/13/NW-K86307_K86313_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,
11,PK28598,Hattersley FIG. 970 ductile iron semi lugged lever operated butterfly valve 65mm PN16,Hattersley,246.05,"This Hattersley 970 lever-operated compact butterfly valve with 65mm connections has a ductile iron, elastomer-lined body with an aluminium bronze disc. A butterfly valve is a quarter-turn type valve designed to regulate or isolate the flow of a fluid. While in use the valve is fully open or closed when its integral disc is rotated a quarter turn. These valves are lighter in weight than other valves, generally requiring less support.","Pipe, Valves and Fittings/Metal Pipe Valves/Butterfly Valves/Butterfly Valves.csv -> Hattersley FIG. 970 ductile iron semi lugged lever operated butterfly valve 65mm PN16",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/98/NW-K28598_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Hattersley_970_970G_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Hattersley_Butterfly_Valve_Install.pdf,
